glyph_name,ps_name,sort_final_cdg,sort_final_a,assoc_feat_cdg,assoc_feat_a,assoc_feat_val,assoc_uids_cdg,assoc_uids_a
LtnSmACircumDotBlw.SngStory,uni1EAD.SngStory,1010.14321,1010.14321,ss01,,,1EAD,
LtnSmACircumAcute.SngStory,uni1EA5.SngStory,1010.143231,1010.143231,ss01,,,1EA5,
LtnSmACircumAcute.SngStory.VN,uni1EA5.SngStory.VN,1010.143231,1010.143231,,,,1EA5,1EA5
LtnSmACircumGrave.SngStory,uni1EA7.SngStory,1010.143231,1010.143231,ss01,,,1EA7,
LtnSmACircumGrave.SngStory.VN,uni1EA7.SngStory.VN,1010.143231,1010.143231,,,,1EA7,1EA7
LtnSmACircumTilde.SngStory,uni1EAB.SngStory,1010.143234,1010.143234,ss01,,,1EAB,
LtnSmACircumTilde.SngStory.VN,uni1EAB.SngStory.VN,1010.143234,1010.143234,,,,1EAB,1EAB
LtnSmACircumHookAbv.SngStory,uni1EA9.SngStory,1010.143238,1010.143238,ss01,,,1EA9,
LtnSmACircumHookAbv.SngStory.VN,uni1EA9.SngStory.VN,1010.143238,1010.143238,,,,1EA9,1EA9
LtnSmAInvBreve.SngStory,uni0203.SngStory,1010.14331,1010.14331,ss01,,,0203,
LtnSmABreve.SngStory,abreve.SngStory,1010.14332,1010.14332,ss01,,,0103,
LtnSmABreveDotBlw.SngStory,uni1EB7.SngStory,1010.143321,1010.143321,ss01,,,1EB7,
LtnSmABreveAcute.SngStory,uni1EAF.SngStory,1010.143323,1010.143323,ss01,,,1EAF,
LtnSmABreveAcute.SngStory.VN,uni1EAF.SngStory.VN,1010.143323,1010.143323,,,,1EAF,1EAF
LtnSmABreveGrave.SngStory,uni1EB1.SngStory,1010.143323,1010.143323,ss01,,,1EB1,
LtnSmABreveGrave.SngStory.VN,uni1EB1.SngStory.VN,1010.143323,1010.143323,,,,1EB1,1EB1
LtnSmABreveTilde.SngStory,uni1EB5.SngStory,1010.143323,1010.143323,ss01,,,1EB5,
LtnSmABreveTilde.SngStory.VN,uni1EB5.SngStory.VN,1010.143323,1010.143323,,,,1EB5,1EB5
LtnSmABreveHookAbv.SngStory,uni1EB3.SngStory,1010.143324,1010.143324,ss01,,,1EB3,
LtnSmABreveHookAbv.SngStory.VN,uni1EB3.SngStory.VN,1010.143324,1010.143324,,,,1EB3,1EB3
LtnSmACaron.SngStory,uni01CE.SngStory,1010.14334,1010.14334,ss01,,,01CE,
LtnSmATilde.SngStory,atilde.SngStory,1010.1434,1010.1434,ss01,,,00E3,
LtnSmAMacron.SngStory,amacron.SngStory,1010.1435,1010.1435,ss01,,,0101,
LtnSmADiaer.SngStory,adieresis.SngStory,1010.1436,1010.1436,ss01,,,00E4,
LtnSmADiaerMacron.SngStory,uni01DF.SngStory,1010.143635,1010.143635,ss01,,,01DF,
LtnSmADotAbv.SngStory,uni0227.SngStory,1010.14371,1010.14371,ss01,,,0227,
LtnSmADotAbvMacron.SngStory,uni01E1.SngStory,1010.143714,1010.143714,ss01,,,01E1,
LtnSmARingAbv.SngStory,aring.SngStory,1010.14373,1010.14373,ss01,,,00E5,
LtnSmARingAbvAcute.SngStory,aringacute.SngStory,1010.143733,1010.143733,ss01,,,01FB,
LtnSmARtHalfRing.SngStory,uni1E9A.SngStory,1010.14374,1010.14374,ss01,,,1E9A,
LtnSmAHookAbv.SngStory,uni1EA3.SngStory,1010.1438,1010.1438,ss01,,,1EA3,
LtnSmAEgAlef.SngStory,uniA7BB.SngStory,1010.1439,1010.1439,ss01,,,A7BB,
LtnSmADotBlw.SngStory,uni1EA1.SngStory,1010.14471,1010.14471,ss01,,,1EA1,
LtnSmARingBlw.SngStory,uni1E01.SngStory,1010.14473,1010.14473,ss01,,,1E01,
LtnSmAOgonek.SngStory,aogonek.SngStory,1010.1462,1010.1462,ss01,,,0105,
LtnSmAOgonek.SngStory.RetroHook,aogonek.SngStory.RetroHook,1010.1463,1010.1463,,,,0105,0105
LtnSmAStrk.SngStory,uni2C65.SngStory,1010.1475,1010.1475,ss01,,,2C65,
LtnSupSmAlpha,uni1D45,1010.22,1010.22,,,,,
FemOrdIndicator.SngStory,ordfeminine.SngStory,1010.2214,1010.2214,ss01,,,00AA,
LtnSmAAcute.2StorySItal,aacute.2StorySItal,1010.31111,1010.31111,ss05,ss05,,00E1,00E1
LtnSmAGrave.2StorySItal,agrave.2StorySItal,1010.31311,1010.31311,ss05,ss05,,00E0,00E0
LtnSmADblGrave.2StorySItal,uni0201.2StorySItal,1010.31411,1010.31411,ss05,ss05,,0201,0201
LtnSmACircum.2StorySItal,acircumflex.2StorySItal,1010.3211,1010.3211,ss05,ss05,,00E2,00E2
LtnSmACircumDotBlw.2StorySItal,uni1EAD.2StorySItal,1010.32111,1010.32111,ss05,ss05,,1EAD,1EAD
LtnSmAInvBreve.2StorySItal,uni0203.2StorySItal,1010.33111,1010.33111,ss05,ss05,,0203,0203
LtnSmABreve.2StorySItal,abreve.2StorySItal,1010.33211,1010.33211,ss05,ss05,,0103,0103
LtnSmABreveDotBlw.2StorySItal,uni1EB7.2StorySItal,1010.332111,1010.332111,ss05,ss05,,1EB7,1EB7
LtnSmABreveAcute.2StorySItal,uni1EAF.2StorySItal,1010.332311,1010.332311,ss05,ss05,,1EAF,1EAF
LtnSmABreveGrave.2StorySItal,uni1EB1.2StorySItal,1010.332313,1010.332313,ss05,ss05,,1EB1,1EB1
LtnSmABreveTilde.2StorySItal,uni1EB5.2StorySItal,1010.332341,1010.332341,ss05,ss05,,1EB5,1EB5
LtnSmABreveHookAbv.2StorySItal,uni1EB3.2StorySItal,1010.332381,1010.332381,ss05,ss05,,1EB3,1EB3
LtnSmACaron.2StorySItal,uni01CE.2StorySItal,1010.33411,1010.33411,ss05,ss05,,01CE,01CE
LtnSmAMacron.2StorySItal,amacron.2StorySItal,1010.3511,1010.3511,ss05,ss05,,0101,0101
LtnSmADiaer.2StorySItal,adieresis.2StorySItal,1010.3611,1010.3611,ss05,ss05,,00E4,00E4
LtnSmADiaerMacron.2StorySItal,uni01DF.2StorySItal,1010.363511,1010.363511,ss05,ss05,,01DF,01DF
LtnSmADotAbv.2StorySItal,uni0227.2StorySItal,1010.37111,1010.37111,ss05,ss05,,0227,0227
LtnSmADotAbvMacron.2StorySItal,uni01E1.2StorySItal,1010.371351,1010.371351,ss05,ss05,,01E1,01E1
LtnSmARingAbv.2StorySItal,aring.2StorySItal,1010.37311,1010.37311,ss05,ss05,,00E5,00E5
LtnSmARingAbvAcute.2StorySItal,aringacute.2StorySItal,1010.373331,1010.373331,ss05,ss05,,01FB,01FB
LtnSmARtHalfRing.2StorySItal,uni1E9A.2StorySItal,1010.374,1010.374,ss05,ss05,,1E9A,1E9A
LtnSmAHookAbv.2StorySItal,uni1EA3.2StorySItal,1010.3811,1010.3811,ss05,ss05,,1EA3,1EA3
LtnSmARingBlw.2StorySItal,uni1E01.2StorySItal,1010.47311,1010.47311,ss05,ss05,,1E01,1E01
LtnSmAOgonek.2StorySItal,aogonek.2StorySItal,1010.5462,1010.5462,ss05,ss05,,0105,0105
LtnSmAOgonek.2StorySItal.RetroHook,aogonek.2StorySItal.RetroHook,1010.5463,1010.5463,cv76,cv76,,0105,0105
LtnSmAlphaRetrHook,uni1D90,1010.64,1010.64,,,,,
LtnSmInvAlpha,uniAB64,1012.1,1012.1,,,,,
LtnSmTurnedAlpha,uni0252,1015.1,1015.1,,,,,
LtnSupSmTurnedAlpha,uni1D9B,1015.22,1015.22,,,,,
LtnSmAe.2StorySItal,ae.2StorySItal,1020.11,1020.11,ss05,ss05,,00E6,00E6
CySmLigAIe,uni04D5,1020.15,1020.15,,,,,
LtnSupSmAe,u10783,1020.22,1020.22,,,,,
LtnSmAeAcute,aeacute,1020.311,1020.311,,,,,
LtnSmAeAcute.2StorySItal,aeacute.2StorySItal,1020.31111,1020.31111,ss05,ss05,,01FD,01FD
LtnSmAeMacron,uni01E3,1020.35,1020.35,,,,,
LtnSmAeMacron.2StorySItal,uni01E3.2StorySItal,1020.3511,1020.3511,ss05,ss05,,01E3,01E3
LtnSmTrndAe,uni1D02,1025.1,1025.1,,,,,
ModSmTrndAe,uni1D46,1025.22,1025.22,,,,,
GrSmAlpha,alpha,1030.1,1030.1,,,,,
CyCapA,uni0410,1050.15,1050.15,,,,,
GrCapAlpha,Alpha,1050.16,1050.16,,,,,
ModCapA,uni1D2C,1050.23,1050.23,,,,,
LtnSmCapA,uni1D00,1050.26,1050.26,,,,,
LtnCapADblGrave,uni0200,1050.314,1050.314,,,,,
LtnCapACircumAcute,uni1EA4,1050.32311,1050.32311,,,,,
LtnCapACircumAcute.VN,uni1EA4.VN,1050.323111,1050.323111,cv75,cv75,,1EA4,1EA4
LtnCapACircumGrave,uni1EA6,1050.32313,1050.32313,,,,,
LtnCapACircumGrave.VN,uni1EA6.VN,1050.323131,1050.323131,cv75,cv75,,1EA6,1EA6
LtnCapACircumTilde,uni1EAA,1050.3234,1050.3234,,,,,
LtnCapACircumTilde.VN,uni1EAA.VN,1050.32341,1050.32341,cv75,cv75,,1EAA,1EAA
LtnCapACircumHookAbv,uni1EA8,1050.3238,1050.3238,,,,,
LtnCapACircumHookAbv.VN,uni1EA8.VN,1050.32381,1050.32381,cv75,cv75,,1EA8,1EA8
LtnCapACircumDotBlw,uni1EAC,1050.32471,1050.32471,,,,,
LtnCapAInvBreve,uni0202,1050.331,1050.331,,,,,
LtnCapABreve,Abreve,1050.332,1050.332,,,,,
LtnCapABreveAcute,uni1EAE,1050.332311,1050.332311,,,,,
LtnCapABreveAcute.VN,uni1EAE.VN,1050.332312,1050.332312,cv75,cv75,,1EAE,1EAE
LtnCapABreveGrave,uni1EB0,1050.332313,1050.332313,,,,,
LtnCapABreveGrave.VN,uni1EB0.VN,1050.332314,1050.332314,cv75,cv75,,1EB0,1EB0
LtnCapABreveTilde,uni1EB4,1050.33234,1050.33234,,,,,
LtnCapABreveTilde.VN,uni1EB4.VN,1050.332341,1050.332341,cv75,cv75,,1EB4,1EB4
LtnCapABreveHookAbv,uni1EB2,1050.33238,1050.33238,,,,,
LtnCapABreveHookAbv.VN,uni1EB2.VN,1050.332381,1050.332381,cv75,cv75,,1EB2,1EB2
LtnCapABreveDotBlw,uni1EB6,1050.332471,1050.332471,,,,,
CyCapABreve,uni04D0,1050.333,1050.333,,,,,
LtnCapACaron,uni01CD,1050.334,1050.334,,,,,
LtnCapAMacron,Amacron,1050.35,1050.35,,,,,
CyCapADiaer,uni04D2,1050.361,1050.361,,,,,
LtnCapADiaerMacron,uni01DE,1050.3635,1050.3635,,,,,
LtnCapADotAbv,uni0226,1050.371,1050.371,,,,,
LtnCapADotAbvMacron,uni01E0,1050.37135,1050.37135,,,,,
LtnCapARingAbvAcute,Aringacute,1050.373311,1050.373311,,,,,
