# 2017-01-19 02:18:08 ../../pysilfont/scripts/tools/UFOpsnamesmap.py
# GentiumPlus-Regular.ufo

CombInvBreve,uni0311
LtnCapHHook,uniA7AA
LtnCapSCedilla,Scedilla
TnLtrSeg41,compTnLtrSeg41
TnLtrSeg43,compTnLtrSeg43
LtnSmL.SItal,l.SItal
TnLtrSeg45,compTnLtrSeg45
ThereExists,existential
LtnCapIGrave,Igrave
ModSmTrndAe,uni1D46
LtnSmIBreve,ibreve
LtnSmGCedilla.SngBowl,gcommaaccent.SngBowl
LtnSmF.sc,f.sc
GrSmOmegaWPsili,uni1F60
GrSmChi,chi
TnLtrNineSeg48,uniF1F4F1F8
LtnSmZAcute.sc,zacute.sc
TnLtrNineSeg74.Lines,uniF1F7F1F4.Lines
CombGraphemeJoiner,uni034F
LtnSmEMacronAcute,uni1E17
TnContRt33,uni02E7.3
LtnSmODotAbv.sc,uni022F.sc
LtnSmGCedilla.sc,gcommaaccent.sc
LtnSmCHook,uni0188
LtnSmICaron.SItal.LP,uni01D0.SItal.LP
R_Response,uni211F
LtnCapIDiaerAcute,uni1E2E
LtnCapEng.Kom,Eng.Kom
LtnSmZCircum.sc,uni1E91.sc
LtnSmUDotBlw.sc,uni1EE5.sc
GrSmEtaWPsiliVariaYpo,uni1F92
DigitTwo,two
CharTieAbv,uni2040
LtnSubSmA.SngStory,uni2090.SngStory
LtnSmCCedilla.sc,ccedilla.sc
DotAbv,dotaccent
LtnSmARingBlw.SngStory.sc,uni1E01.SngStory.sc
CySmWe.sc,uni051D.sc
SupplRtSubBrac,uni2E03
LtnInvGlottalStop,uni0296
CySmYeru,uni044B
NotParallelTo,uni2226
CombBridgeAbv,uni0346
LtnSmACircumGrave.VN.sc,uni1EA7.VN.sc
GrCapEtaWDasiaOxiaPros,uni1F9D
LtnSmARtHalfRing,uni1E9A
LtnCapKStrk,uniA740
GrAnoTeleia,anoteleia
LtnSmRFishhookMiddleTildeDep,uniF250
LtnSmGCircum.SngBowl,gcircumflex.SngBowl
LtnSmGCircum.LP,gcircumflex.LP
LtnCapWHook,uni2C72
ModEndLowTn,uni02FC
LtnSmOCircum.LP,ocircumflex.LP
CySmBarredODiaer.sc,uni04EB.sc
LtnSmLngSHighStrk,uni1E9D
CombRtArrwhdUpArrwhdBlw,uni0356
ModYangDepartingToneMrk,uni02EB
GrSmEpsilonWVaria,uni1F72
LtnSmLBar,uni019A
RtToLftOverride,uni202E
LtnSmVHook.StraightLftHighHook.sc,uni028B.StraightLftHighHook.sc
CombGrave,gravecomb
LtnSmSdwysU,uni1D1D
LtnSmACircum.sc,acircumflex.sc
GrDialOxia,uni1FEE
LtnCapLStrk,Lslash
LtnSmACircum.2StorySItal.LP,acircumflex.2StorySItal.LP
LtnSmIMacron.LP,imacron.LP
LtnSmFengDigraph,uni02A9
ModSmR,uni02B3
GrCapOmegaWDasiaOxia,uni1F6D
LtnBidentalPercussive,uni02AD
TnLtrNineSeg43,uniF1F4F1F3
LtnSmACircumTilde.sc,uni1EAB.sc
CySmDeZheLig.sc,uni052B.sc
GrSmUpsilonWDialTonos,upsilondieresistonos
ModSmVHookDep,uniF1C6
CyCapZe,uni0417
LtnCapYDiaer,Ydieresis
LtnSupSmUBar,uni1DB6
LtnSmATilde.SngStory.sc,atilde.SngStory.sc
LtnCapDz,uni01F1
LtnSmABreveAcute.SngStory.VN.LP,uni1EAF.SngStory.VN.LP
LtnSupSmG,uni1D4D
LtnSupSmF,uni1DA0
LtnCapKDotBlw,uni1E32
LtnSmSAcuteDotAbv.sc,uni1E65.sc
LtnSmWDotBlw.sc,uni1E89.sc
LtnSupSmA,uni1D43
LtnCapUHornDotBlw,uni1EF0
LtnSmYStrk.sc,uni024F.sc
LtnSmUTildeBlw.sc,uni1E75.sc
LtnSupSmM,uni1D50
LtnSmYStrkDep,uniF243
LtnSupSmK,uni1D4F
CombRtHarpoonBarbDwnBlw,uni20EC
LtnSmUGrave,ugrave
LtnSmEGrave.LP,egrave.LP
LtnCapIInvBreve,uni020A
LtnSmZDotAbv,zdotaccent
LtnSmOpnORetrHook,uni1D97
LtnSmODotAbvMacron.sc,uni0231.sc
TnLtrSpcFlatLeft,compTnLtrSpcFlatLeft
LtnSupSmP,uni1D56
LtnSmLum,uniA772
LtnSmAInvBreve.SngStory.sc,uni0203.SngStory.sc
LtnSmSDotBlwDotAbv,uni1E69
CombTildeOverlay,uni0334
LtnSmTMiddleTilde,uni1D75
LtnSmCuatrilloDep,uniF246
LtnSmABreveGrave.SngStory.VN,uni1EB1.SngStory.VN
ModLowColon,uniA789
LtnSmAGrave.sc,agrave.sc
LtnSmABreveGrave.2StorySItal.LP,uni1EB1.2StorySItal.LP
CySmKomiNje,uni050B
ModBeginHighTn,uni02F9
CySmPe.Serb,uni043F.Serb
GrDasia,uni1FFE
ParallelTo,uni2225
LtnSmIDotBlw.SItal,uni1ECB.SItal
GrSmIotaWPsiliOxia,uni1F34
TnContLft43,uniA714.4
GrCapAlphaWPsiliVariaPros,uni1F8A
GrSmUpsilonWVaria,uni1F7A
LtnSupSmCapY,uniF1B4
LtnCapOCurl,uniA74C
LtnCapECircumGrave.VN,uni1EC0.VN
TnLtrNineSeg91.Lines,uniF1F9F1F1.Lines
LtnSmABreveAcute.2StorySItal.VN.LP,uni1EAF.2StorySItal.VN.LP
CySmAbkhasDze.RevSigmaStyle.sc,uni04E1.RevSigmaStyle.sc
TnLtrNineSeg35,uniF1F3F1F5
LtnSmCuatrilloComma.sc,uniA72F.sc
LtnSmACircumHookAbv,uni1EA9
LtnSmOMacron.sc,omacron.sc
GrSmKappa,kappa
GrCapAlphaWDasia,uni1F09
LtnCapZStrk,uni01B5
LtnCapLCedilla,Lcommaaccent
SubZero,uni2080
ModMinusSgn,uni02D7
LtnSmUDblAcute.sc,uhungarumlaut.sc
GrCapGamma,Gamma
LtnSmBTopbar.sc,uni0183.sc
ModSmW,uni02B7
GrSmStigma,uni03DB
LtnCapKStrkRtDiagStrk,uniA744
CombCircumTilde.VN,uni0302_tildecomb.VN
InhibitSymmetricSwapping,uni206A
LtnSmAAcute.2StorySItal.LP,aacute.2StorySItal.LP
LtnSmEshHookDep,uniF216
GrSmOmegaWYpo,uni1FF3
CySmRevZe.sc,uni0511.sc
LtnRevGlottalStop,uni0295
LtnCapO.Sophia,compLtnCapO
CyCapKomiDe,uni0500
LtnSmSCedilla,scedilla
LtnSmScriptGPalHookDep,uniF228
GrSmAlphaWDasiaOxiaYpo,uni1F85
CySmDeZheLig,uni052B
LtnSmAStrk,uni2C65
LtnSmRCaron.LP,rcaron.LP
GrSubSmGamma,uni1D67
LtnCapJCrossedTail,uniA7B2
LtnCapWDiaer,Wdieresis
LtnSmDCedilla,uni1E11
LtnSmB.sc,b.sc
LtnSmUOgonek.RetroHook,uogonek.RetroHook
ModSmJCrossedTail.Dotless,uni1DA8.Dotless
LtnCapNDotBlw,uni1E46
LtnSmAYDigraph,uniA73D
LtnCapEBreve,Ebreve
LtnCapGAcute,uni01F4
CyCapHaStrkDep,uniF328
LtnSupSmI,uni2071
LtnSmOCircumAcute.LP,uni1ED1.LP
LtnSmACircumTilde.SngStory.VN.LP,uni1EAB.SngStory.VN.LP
CombLftArrwhdBlw,uni0354
LtnSmICaron.sc,uni01D0.sc
BrokenBar,brokenbar
LtnSmGAcute.SngBowl.sc,uni01F5.SngBowl.sc
WordJoiner,uni2060
TwoDotLeader,twodotenleader
CySmPeMiddleHook,uni04A7
LtnSmDLineBlw.sc,uni1E0F.sc
GrCapHeta,uni0370
LtnSmVHook.StraightLft,uni028B.StraightLft
CySmDe,uni0434
ZeroWidthSpace.ShowInv,uni200B.ShowInv
LtnSmOpnORetrHookDep,uniF23D
LtnSmOHornHookAbv,uni1EDF
DotTnLtr5Dep,uniF1D5
LtnCapTCaron,Tcaron
LtnSmGBarredBowl.sc,uni01E5.BarBowl.sc
LtnSmCapTrndR,uni1D1A
GrSmUpsilonWPsiliPeris.Por,uni1F56.Por
LtnCapUBarDep,uniF218
TnLtrNineSeg32,uniF1F3F1F2
CombSnakeBlwDep,uniF170
ModSmTrndR,uni02B4
TnStaffLft5no,uniA712.lstaffno
TnStaffRt5no,uni02E5.rstaffno
CombCaron,uni030C
LtnSmUCircumBlw.sc,uni1E77.sc
LtnSmOCircumHookAbv.VN,uni1ED5.VN
CombBreveAcute.VN,uni0306_acutecomb.VN
LtnSmCapTrndM,uniA7FA
TnStaffRt4no,uni02E6.rstaffno
LtnSupSmDotlessJStrkDep,uniF1A9
LtnCapOODigraph,uniA74E
CySmZe,uni0437
LtnSmDzCaron.LP,uni01C6.LP
LtnSmTStrk.sc,tbar.sc
TnLtrNineSeg82.Lines,uniF1F8F1F2.Lines
LtnCapECircumAcute.VN,uni1EBE.VN
GrCapOmicronWVaria,uni1FF8
GrCapEpsilonWDasiaOxia,uni1F1D
DigitThree.Sophia,compDigitThree
CyCapZhe,uni0416
LtnCapThornLowStrk,uniA766
LtnSmTrndAe,uni1D02
LtnSmScriptG,uni0261
GrVaria,uni1FEF
LtnSmACircumTilde,uni1EAB
CySmUkrainIe,uni0454
LtnSmABreveHookAbv.SngStory.VN.sc,uni1EB3.SngStory.VN.sc
LtnSmGCaron.SngBowl,gcaron.SngBowl
LtnSmCapUBarDep,uniF23F
LtnSmTDiagStrk,uni2C66
NWArrw,uni2196
ModShelf,uni02FD
LtnSmJ.sc,j.sc
CySmFita,uni0473
LtnSmIStrk,uni0268
LtnSmPMiddleTilde,uni1D71
TnLtrNineSeg57,uniF1F5F1F7
TnLtrNineSeg54,uniF1F5F1F4
LtnSmSCircum.LP,scircumflex.LP
TnLtrNineSeg52,uniF1F5F1F2
TnLtrNineSeg53,uniF1F5F1F3
LtrSamShin,uni214F
LtnSmDCedilla.sc,uni1E11.sc
LtnSmLAcute.sc,lacute.sc
LtnCapOCaron,uni01D1
ModGraveAccent.ChinantecTn,uni02CB.ChinantecTn
TnLtrNineSeg58,uniF1F5F1F8
CombTilde.LP,tildecomb.LP
LtnSmAInvBreve,uni0203
CySmEnTail.sc,uni04CA.sc
GrSmBeta.Serif,beta.Serif
GrSmUpsilonWDialVaria,uni1FE2
LtnSmQHookTail.sc,uni024B.sc
LtnSmLPalHookDep,uniF22A
TnLtr1no,uni02E9.no
LtnSmABreveHookAbv,uni1EB3
LtnSmU.sc,u.sc
LtnSmABreveAcute.SngStory,uni1EAF.SngStory
LtnCapOpenNine,uniA76E
LtnSupSmOStrk,uniF1AB
LtnSmUTildeAcute,uni1E79
GrSmAlphaWDasiaPerisYpo.Por,uni1F87.Por
LtnCapVTilde,uni1E7C
VertLine,bar
GrDasiaVaria,uni1FDD
LineSep,uni2028
VS7,uniFE06
LtnSmCStrkDep,uniF20B
TnLtrNineSeg78.Lines,uniF1F7F1F8.Lines
LtnSmOOgonekMacron.LP,uni01ED.LP
LtnCapUDblGrave,uni0214
LtnSmHalfH.sc,uni2C76.sc
CyCapAbkhasCheDesc,uni04BE
TnLtrNineSeg93.Lines,uniF1F9F1F3.Lines
GrPsili,uni1FBF
LtnSmEMacronGrave.LP,uni1E15.LP
CySmIe.sc,uni0435.sc
LtnCapCHook,uni0187
LtnCapYMacron,uni0232
LtnSmOCircumAcute,uni1ED1
LtnCapOHornAcute,uni1EDA
GrCapAlphaWPsiliPerisPros,uni1F8E
LtnSmITilde.SItal.LP,itilde.SItal.LP
LtnSmCHook.sc,uni0188.sc
LtnSmGBreve.SngBowl,gbreve.SngBowl
LtnSubSmK,uni2096
LtnCapABreveAcute.VN,uni1EAE.VN
TnLtrNineSeg58.Lines,uniF1F5F1F8.Lines
DegreeSgn,degree
LtnCapFHookStrk,uniA798
LtnSmETilde.LP,uni1EBD.LP
LtnCapAVDigraphStrk,uniA73A
LtnCapATilde,Atilde
LtnSmKStrkRtDiagStrk.sc,uniA745.sc
Semicolon,semicolon
CySmEn.sc,uni043D.sc
CySmKaVertStrk,uni049D
ZeroWidthNoBreakSpace,uniFEFF
CyCapADiaer,uni04D2
ModSmAin,uni1D5C
LtnSmACircumAcute.LP,uni1EA5.LP
SmRomNumTen,uni2179
CombUpArrwBlw,uni034E
TnLtrSpcFlatRight,compTnLtrSpcFlatRight
SmRomNumSix,uni2175
TnLtrNineSeg13.Lines,uniF1F1F1F3.Lines
LtnSmOpnERetrHook,uni1D93
GrSmAlphaWDasiaPeris.Por,uni1F07.Por
LtnSmARingAbvAcute,aringacute
LtnSmSDiagStrk,uniA7A9
LtnSmEzhTail,uni01BA
LtnSupSmOpnO,uni1D53
TnContLft41,uniA716.4
LtnSmPLowStrk,uniA751
LtnSmIDiaerAcute.LP,uni1E2F.LP
LtnSmDCircumBlw.sc,uni1E13.sc
Caron.LP,caron.LP
GrCapOmegaWDasiaPeris,uni1F6F
CySmAbkhasDze.sc,uni04E1.sc
RtToLftEmbedding,uni202B
GrCapUpsilonWTonos,Upsilontonos
TnContRt45,uni02E6.5
LtnSmRRotunda,uniA75B
LtnCapHCaron,uni021E
LtnSmODiaerMacron,uni022B
LtnSmVCurlDep,uniF25E
LtnSmCCaron.LP,ccaron.LP
PerMilleSgn,perthousand
LtnSmHCircum.sc,hcircumflex.sc
CyCapPeMiddleHook,uni04A6
LtnCapSmTurnedAlphaDep,uniF209
GrSmIotaWPsili,uni1F30
LtnSmACircumTilde.SngStory.LP,uni1EAB.SngStory.LP
LtnSmEOgonek.RetroHook,eogonek.RetroHook
LtnCapOLngStrk,uniA74A
TnLtrNineSeg41.Lines,uniF1F4F1F1.Lines
LtnSmSCircum,scircumflex
LtnSmCapRum,uniA776
LtnSmIs.sc,uniA76D.sc
LtnSmCapIStrk,uni1D7B
LtnSmIMacron.SItal.LP,imacron.SItal.LP
LtnSmZCaron.sc,zcaron.sc
CyCapFita,uni0472
TnLtrNineSeg55,uniF1F5
LtnSmARingAbv.SngStory,aring.SngStory
RomNumEight,uni2167
LtnSmSaltillo.Lrg.sc,uniA78C.Lrg.sc
LtnCapOOgonek,uni01EA
VulgFracOneHalf,onehalf
LtnSmDzDigraph,uni02A3
LtnSmTDiagStrk.sc,uni2C66.sc
LtnSmLCurl,uni0234
ParagraphSeparator,uni2029
LtnCapIota,uni0196
LtnSmUAcute,uacute
LtnSmG,g
GrSmFinSigma,sigma1
LtnSmVend,uniA769
GrSmEtaWPerisYpo,uni1FC7
LtnSmPDotAbv.LP,uni1E57.LP
LtnSmCapOe,uni0276
LtnSmCuatrillo.sc,uniA72D.sc
SupplLftSubBracDot,uni2E04
LtnSmABreveHookAbv.sc,uni1EB3.sc
GrSmUpsilonWPsili,uni1F50
LtnSmAGrave.SngStory,agrave.SngStory
LtnSmRAcute.LP,racute.LP
LtnSmADiaer.2StorySItal.LP,adieresis.2StorySItal.LP
LtnSmCapOu,uni1D15
RomNumTenThousand,uni2182
LtnSmLigFfl,ffl
LtnSmEzhPalHook,uniF235
LtnSmABreveGrave,uni1EB1
LtnSmLigFfi,ffi
LtnSmTDotAbv.LP,uni1E6B.LP
GrSmAlphaWPsiliPeris,uni1F06
LtnSmSharpS.sc,germandbls.sc
TnLtrNineSeg71,uniF1F7F1F1
GrSmOmicronWDasiaOxia,uni1F45
GrSmUpsilonWDasia,uni1F51
LtnSupSmEng,uni1D51
CurrSgn,currency
LtnSmBLineBlw,uni1E07
GrSmIotaWOxia,uni1F77
ReverseSolidus,backslash
LtnSmACircumAcute.VN.sc,uni1EA5.VN.sc
LtnSmABreveTilde.SngStory.VN,uni1EB5.SngStory.VN
RtDblQuotMrk,quotedblright
VS6,uniFE05
DigitSix,six
LtnSmAMacron.SngStory.LP,amacron.SngStory.LP
CySmKomiDe,uni0501
CySmIeGrave.sc,uni0450.sc
LtnSmECircumTilde.VN.sc,uni1EC5.VN.sc
TnLtrNineSeg26.Lines,uniF1F2F1F6.Lines
GrDialPeris,uni1FC1
LtnSmThornLowStrk.sc,uniA767.sc
LtnSupSmSchwa,uni1D4A
LtnSmECircumGrave.VN,uni1EC1.VN
CyCapAbkhasChe,uni04BC
VS8,uniFE07
VS9,uniFE08
TnContLft54,uniA713.5
TnContLft55,uniA712.5
CySmHaHook,uni04FD
GrCapPi,Pi
CyCapKomiDzje,uni0506
LtnCapACircumDotBlw,uni1EAC
TnContLft52,uniA715.5
LtnCapEzh.RevSigmaStyle,uni01B7.RevSigmaStyle
LtnSupSmZ,uni1DBB
LtnSmRevRFishhook,uni027F
LtnSmFDotAbv.sc,uni1E1F.sc
LtnSmBPalHookDep,uniF224
GrCapOmegaWDasia,uni1F69
LftParen,parenleft
Breve,breve
VS12.ShowInv,uniFE0B.ShowInv
LtnSmAOgonek.SngStory.RetroHook,aogonek.SngStory.RetroHook
LtnSmADiaer.2StorySItal,adieresis.2StorySItal
TriangularBullet,uni2023
SupplRaisedInterpMkr,uni2E06
LtnSmV.sc,v.sc
LtnCapGCedilla,Gcommaaccent
LtnSupSmIStrkDep,uniF1A7
LtnSmKDesc.sc,uni2C6A.sc
LtnSmMDotBlw.sc,uni1E43.sc
PopDirFormatting.ShowInv,uni202C.ShowInv
LtnSmECircumAcute.VN.LP,uni1EBF.VN.LP
CySmYeruDiaer.sc,uni04F9.sc
CombDblInvBreve,uni0361
LtnCapLSmJ,uni01C8
CySmLigAIe,uni04D5
GrCapEpsilonWDasiaVaria,uni1F1B
DotTnLtr5,uniA708
ModSmGamma,uni02E0
DotTnLtr1,uniA70C
DotTnLtr2,uniA70B
DotTnLtr3,uniA70A
SupplRtTransBrac,uni2E0A
LtnSmOpenSix.sc,uni1EFD.sc
LtnSmNDesc,uniA791
LftTopParen,uni239B
SupersetOfEqTo,uni2287
LtnSmACaron.SngStory.LP,uni01CE.SngStory.LP
LtnSmECaron.sc,ecaron.sc
GrSmMu,uni03BC
GrSmZeta,zeta
LtnSmAOgonek.sc,aogonek.sc
LtnSmDzCaron.sc,uni01C6.sc
LtnCapTresillo,uniA72A
LtnCapRLineBlw,uni1E5E
LtnSmM,m
GrCapEtaWPsiliOxiaPros,uni1F9C
LtnCapRDotAbv,uni1E58
LtnCapS.Sophia,compLtnCapS
CySmSha,uni0448
LftMidParen,uni239C
GrSmTau,tau
TnLtrSeg25,compTnLtrSeg25
LtnCapEDotAbv,Edotaccent
SupNine,uni2079
LtnSmM.sc,m.sc
OpnBx,uni2423
CySmDzhe,uni045F
TnLtrSeg23,compTnLtrSeg23
LtnCapYDotAbv,uni1E8E
LtnSmUHornGrave.sc,uni1EEB.sc
ModLowVertLine,uni02CC
GrSmOmegaWPsiliPerisYpo,uni1FA6
LtnSmARingAbv,aring
LtnSmLCaron.Caron.sc,lcaron.Caron.sc
TnLtrNineSeg14.Lines,uniF1F1F1F4.Lines
LtnSmYCircum.sc,ycircumflex.sc
LtnCapARingAbv,Aring
LtnSmIDotBlw,uni1ECB
LtnSmUDiaer.LP,udieresis.LP
CySmElTail,uni04C6
LtnCapDSmZ.sc,uni01F2.sc
CyCapHaDesc,uni04B2
LtnSmIMacron,imacron
LtnSmFHookStrk.sc,uniA799.sc
LtnSmE,e
CyCapShortI,uni0419
SpesmiloSgn,uni20B7
GrCapAlphaWVrachy,uni1FB8
LtnCapLBarDep,uniF21F
LtnSmECircumHookAbv.LP,uni1EC3.LP
LtnSmACircumHookAbv.2StorySItal,uni1EA9.2StorySItal
CyCapShortU,uni040E
LtnSmEgAlef,uniA723
LtnCapMDotAbv,uni1E40
LtnSmBLineBlw.sc,uni1E07.sc
GrCapEtaWDasia,uni1F29
ModLowRtArrwhd,uni02F2
LtnSmACircumHookAbv.SngStory.VN.sc,uni1EA9.SngStory.VN.sc
LtnSmSCaronDotAbv.sc,uni1E67.sc
LtnSmLStrk.sc,lslash.sc
AlmostEqTo,approxequal
LtnSmLj.LP,uni01C9.LP
LtnSmCCedillaAcute,uni1E09
PoundSgn,sterling
LtnCapCAcute,Cacute
LtnSmWCircum.sc,wcircumflex.sc
LtnSmAAcute.sc,aacute.sc
LtnSmIAcute.SItal,iacute.SItal
LtnCapVend,uniA768
LtnSmTurnedK,uni029E
LtnSmADiaerMacron.SngStory,uni01DF.SngStory
SubThree,uni2083
GrSmAlphaWDasiaOxia,uni1F05
CySmEnDesc,uni04A3
LtnSupSmEngDep,uniF182
CombDotAbv.LP,uni0307.LP
LtnSmH,h
LtnSmADblGrave.2StorySItal,uni0201.2StorySItal
ModSmVHook,uni1DB9
LftDblArrw,arrowdblleft
LtnSmNDotAbv.sc,uni1E45.sc
CySmYeruDiaer,uni04F9
LtnSmBHook.TopBar.sc,uni0253.TopBar.sc
LtnCapIStrk,uni0197
TnLtrNineSeg65.Lines,uniF1F6F1F5.Lines
LtnSmFMiddleTilde,uni1D6E
CombGraveBlw,uni0316
LtnSmADiaerMacron.SngStory.sc,uni01DF.SngStory.sc
LtnSmGDiagStrk.SngBowl.sc,uniA7A1.SngBowl.sc
LtnSupSmTurnedMLngLegDep,uniF1B2
GrCapIotaWPsili,uni1F38
CySmKomiDzje.sc,uni0507.sc
GrSmSigma,sigma
CySmSchwaDiaer.sc,uni04DB.sc
CySmU.sc,uni0443.sc
LtnCapDzCaron,uni01C4
LtnSmEMacronAcute.sc,uni1E17.sc
ModSmLPalHookDep,uniF1BE
LtnSupSmRevE,uniF1A3
LtnSmZAcute.SItal.LP,zacute.SItal.LP
TnLtrNineSeg59,uniF1F5F1F9
LtnSmICircum.SItal.LP,icircumflex.SItal.LP
LtnSupSmTurnedA,uni1D44
LtnSmZLineBlw,uni1E95
MathFrktCapP,u1D513
LtnSmMAcute.LP,uni1E3F.LP
LtnSmDTail.sc,uni0256.sc
LtnSupSmMDep,uniF180
LtnSmRum,uniA775
LtnSmQ,q
ModRaisedUpArrwDep,uniF19C
LtnLigSmFSmI.SItal.sc,f_i.SItal.sc
TnLtrNineSeg47,uniF1F4F1F7
LtnCapMHookDep,uniF25B
TnLtrNineSeg41,uniF1F4F1F1
GrSmOmicronWPsili,uni1F40
LftPtngDblAngQuotMrk,guillemotleft
NonBreakingHyphen,uni2011
LtnSmEAcute.LP,eacute.LP
LtnCapKAcute,uni1E30
TnLtrNineSeg49,uniF1F4F1F9
GrCapBeta,Beta
CySmEs,uni0441
CySmGheStrkHook.sc,uni04FB.sc
CySmEm,uni043C
CySmEl,uni043B
CySmEn,uni043D
ZeroWidthJoiner.ShowInv,uni200D.ShowInv
LftSqrBrac,bracketleft
InvisibleSeparator,uni2063
GrSmEtaWPsiliYpo,uni1F90
CombCaron.LP,uni030C.LP
CySmLigTeTse,uni04B5
LtnSmAMacron,amacron
LtnSmACaron.sc,uni01CE.sc
LtnCapSAcute,Sacute
LftSglQuotMrk,quoteleft
CombDblCircum,uni1DCD
LtnSmT,t
LtnSmPMiddleTildeDep,uniF24E
LtnSmCapRevR,uni1D19
ModCrossAccent,uni02DF
GrSmIotaWPeris.Por,uni1FD6.Por
GrSmAlphaWPsiliOxiaYpo,uni1F84
LtnSmEInvBreve.sc,uni0207.sc
LtnSmXPalHook,uni1D8D
LtnSmY,y
LtnSmKra,kgreenlandic
CySmElHook.sc,uni0513.sc
LtnSmTHook,uni01AD
DigitFour.Sophia,compDigitFour
LtnSmPLowStrk.sc,uniA751.sc
CySmFita.sc,uni0473.sc
CombEqSgnBlw,uni0347
LtnSmCapA,uni1D00
GrCapOmicronWPsiliOxia,uni1F4C
ModLowColonDep,uniF1E9
LtnSmATilde.2StorySItal,atilde.2StorySItal
LtnSupSmDotlessJStrk,uni1DA1
LtnSmGAcute.LP,uni01F5.LP
LtnSmABreveGrave.2StorySItal,uni1EB1.2StorySItal
LtnSmRDotBlwMacron,uni1E5D
VulgFracFiveEighths,fiveeighths
CySmQa.sc,uni051B.sc
LtnSmECircum,ecircumflex
GrCapIotaWDial,Iotadieresis
LtnCapNAcute,Nacute
LtnSmCapE,uni1D07
GrCapEtaWPsiliPeris.Por,uni1F2E.Por
CombDblBreve,uni035D
LivreTourSgn,uni20B6
Space.Lines,space.Lines
LftParen.Sophia,compLftParen
LtnSmCAcute,cacute
LtnSmVHook,uni028B
CySmKaStrk.sc,uni049F.sc
LtnSmG.SngBowl.sc,g.SngBowl.sc
LtnSmBDotBlw.sc,uni1E05.sc
LtnSmECircumHookAbv.sc,uni1EC3.sc
GrCapPhi,Phi
LtnCapTHook,uni01AC
LtnSmCapY,uni028F
TnLtrNineSeg97.Lines,uniF1F9F1F7.Lines
LtnCapNGrave,uni01F8
LtnCapTDotBlw,uni1E6C
CyCapGheDesc,uni04F6
LtnSmOCircumHookAbv.sc,uni1ED5.sc
TnLtrNineSeg52.Lines,uniF1F5F1F2.Lines
CombDblMacronBlw,uni035F
CombMacron,uni0304
LtnCapNLineBlw,uni1E48
LtnSmACircumAcute.SngStory.LP,uni1EA5.SngStory.LP
LtnSmERetrHookDep,uniF238
LtnSmODiaer.sc,odieresis.sc
LtnSmSCaron,scaron
ModMiddleGraveAccent,uni02F4
LtnSmAAcute.SngStory.sc,aacute.SngStory.sc
LtnSupSmCCurlDep,uniF1A2
LtnSmACircumDotBlw.LP,uni1EAD.LP
GrCapIotaWPsiliPeris.Por,uni1F3E.Por
LtnCapOCircumHookAbv.VN,uni1ED4.VN
CombDblBreveBlw,uni035C
LtnSmADiaerMacron.sc,uni01DF.sc
LtnCapYHookAbv,uni1EF6
GrSmAlphaWPeris.Por,uni1FB6.Por
LtnCapDSmZ,uni01F2
LtnSmEth,eth
LtnSupSmIStrk,uni1DA4
GrCapEtaWPros,uni1FCC
LtnSmADotAbv.SngStory.sc,uni0227.SngStory.sc
CombRtHalfRingBlw,uni0339
CombSeagullBlw,uni033C
CySmZe.sc,uni0437.sc
LtnCapZHook,uni0224
LtnSmSCommaBlw,uni0219
LtnSmIGrave,igrave
SmRomNumFive,uni2174
LtnSmFHookStrk,uniA799
LtnSmLCircumBlw,uni1E3D
LtnSmMHook.sc,uni0271.sc
LtnSmCBar,uniA793
ModDblPrime,uni02BA
LtnSmAeMacron,uni01E3
CyCapZheBreve,uni04C1
LtnSmODblAcute.sc,ohungarumlaut.sc
LtnCapHDotAbv,uni1E22
LtnSmNPalHookDep,uniF22C
LtnSmADblGrave,uni0201
LtnSmPLowCurl.sc,uniA753.sc
CySmSchwa.sc,uni04D9.sc
RtSglQuotMrk,quoteright
LtnSmTurnedHFishhook,uni02AE
LtnSmLCaron,lcaron
DigitNine.Sophia,compDigitNine
LtnSmKCaron,uni01E9
LtnSmODotBlw,uni1ECD
SglLftPtngAngQuotMrk,guilsinglleft
Infinity,infinity
DivSgn,divide
LtnSmOODigraph,uniA74F
LtnSmWDotBlw,uni1E89
LtnSmMMiddleTildeDep,uniF24C
GrSmOmegaWOxiaYpo,uni1FF4
LftToRtEmbedding.ShowInv,uni202A.ShowInv
GrSmUpsilonWDasiaPeris.Por,uni1F57.Por
LtnSmACircumDotBlw,uni1EAD
LtnCapWDotAbv,uni1E86
LtnSmTCaron,tcaron
LtnCapHDiaer,uni1E26
LtnCapRDblGrave,uni0210
CombGrPeris.Por,uni0342.Por
GrSmEtaWDasiaPerisYpo,uni1F97
TnLtrNineSeg55.Lines,uniF1F5.Lines
CombLftArrwBlw,uni20EE
DollarSgn,dollar
ModSmMHook,uni1DAC
LtnSmN.sc,n.sc
LtnSmADotAbvMacron.sc,uni01E1.sc
LtnSmLigFfi.LP,ffi.LP
CySmKhakasChe,uni04CC
LtnCapDHook.TopBar,uni018A.TopBar
LtnSmScriptGPalHook,uni1D83
LtnCapZAcute,Zacute
LtnSmETildeBlw.sc,uni1E1B.sc
GrSmAlphaWPerisYpo.Por,uni1FB7.Por
LtnSmUm,uniA778
FracNumtrOne,uni215F
LtnSmJCaron,uni01F0
LtnCapLigIj,IJ
LtnSmLDotBlwMacron,uni1E39
LtnSmIotaStrkDep,uniF25D
CyCapIGrave,uni040D
