# 2017-01-19 02:18:08 ../../pysilfont/scripts/tools/UFOpsnamesmap.py
# GentiumPlus-Regular.ufo

TnLtrNineSeg96,uniF1F9F1F6
LtnSmTurnedK.sc,uni029E.sc
QuotMrk,quotedbl
TnLtrNineSeg89.Lines,uniF1F8F1F9.Lines
LtnCapAYDigraph,uniA73C
GrCapIotaWPsiliVaria,uni1F3A
LtnSmTrndDelta,uni018D
LtnSmPhi,uni0278
VS7.ShowInv,uniFE06.ShowInv
CombBreveHook.VNLP,uni0306_hookabovecomb.VNLP
CySmSchwaDiaer,uni04DB
LtnSmIOgonek.RetroHook.LP,iogonek.RetroHook.LP
VS12,uniFE0B
LtnSmBDotBlw,uni1E05
LtnSmNAcute,nacute
LtnCapUHornHookAbv,uni1EEC
LtnSmDelta,uni1E9F
LtnSmRDblGrave.sc,uni0211.sc
VS13,uniFE0C
LtnSmYDiaer.sc,ydieresis.sc
LtnSmCCedilla,ccedilla
LtnSmAHookAbv.SngStory.sc,uni1EA3.SngStory.sc
LtnSmCapIStrkDep,uniF254
LtnCapDSmZCaron.LP.sc,uni01C5.LP.sc
NotSgn,logicalnot
LtnSmAeMacron.sc,uni01E3.sc
ZeroWidthSpace,uni200B
TnLtrNineSeg79,uniF1F7F1F9
CySmIMacron,uni04E3
LtnCapUHornTilde,uni1EEE
GrPsiliPeris,uni1FCF
CombCircum,uni0302
CySmHaStrk,uni04FF
TnLtrNineSeg21.Lines,uniF1F2F1F1.Lines
LtnCapUTildeAcute,uni1E78
LtnSmOu.OpenTop.sc,uni0223.OpenTop.sc
GrCapOmegaWPsiliPeris.Por,uni1F6E.Por
LtnSmARtHalfRing.SngStory,uni1E9A.SngStory
GrSmEtaWDasiaVaria,uni1F23
LtnSmHeng,uniA727
LtnCapRRotunda,uniA75A
CyCapDze,uni0405
GrSmPamphylianDigamma,uni0377
LtnSmADiaerMacron.SngStory.LP,uni01DF.SngStory.LP
NArySummation,summation
CyCapO,uni041E
LtnSmACircumGrave.SngStory.VN.sc,uni1EA7.SngStory.VN.sc
LtnSmRLineBlw,uni1E5F
CyCapI,uni0418
LtnCapSaltilloDep,uniF26A
LtnSmJCrossedTail.LP,uni029D.LP
CyCapE,uni042D
LtnSmZCurl,uni0291
LtnSmECircumAcute.VN,uni1EBF.VN
CyCapA,uni0410
RtToLftOverride.ShowInv,uni202E.ShowInv
GrSmEpsilonWOxia,uni1F73
LtnSmBMiddleTilde,uni1D6C
RtBtmSqrBrac,uni23A6
LtnSmVCurl,uni2C74
LtnCapZSwashTail,uni2C7F
CyCapRha,uni0516
CySmLje,uni0459
CombDiaer.LP,uni0308.LP
LtnSmBTopbar,uni0183
LtnSmACircumTilde.2StorySItal.VN,uni1EAB.2StorySItal.VN
KayahLiSignCwi,uniA92E
LtnSmOpenNine.sc,uniA76F.sc
LtnLigSmFSmFSmL.sc,f_f_l.sc
CombDblTilde,uni0360
CombBreveTilde.VNLP,uni0306_tildecomb.VNLP
ModSmJ.Dotless,uni02B2.Dotless
LtnSmADotAbvMacron.LP,uni01E1.LP
SmTaillessPhi,uni2C77
TnContLft51,uniA716.5
ModSmEth,uni1D9E
LtnSmI.Dotless.sc,i.Dotless.sc
LtnCapDSmZCaron,uni01C5
CySmIMacron.sc,uni04E3.sc
CombDiaer.LL,uni0308.LL
GrSmOmicronWDasia,uni1F41
LtnSmOOgonek,uni01EB
LtnSmACircumHookAbv.2StorySItal.VN,uni1EA9.2StorySItal.VN
LtnSmUTildeAcute.LP,uni1E79.LP
LtnSmEng.UCStyle.sc,eng.UCStyle.sc
VulgFracOneSeventh,uni2150
LtnCapHBreveBlw,uni1E2A
GrCapLamda,Lambda
LtnSupSmUpsilon,uni1DB7
LtnSmDum,uniA771
LtnSmOHornGrave.sc,uni1EDD.sc
LtnSmGAcute,uni01F5
LtnSmSHook,uni0282
GrSmUpsilonWMacron,uni1FE1
LtnCapSmTurnedAlpha,uni2C70
CombBreveBlw,uni032E
CyCapEsDesc,uni04AA
CediSign,uni20B5
LtnCapBDotBlw,uni1E04
GrSmAlphaWDasiaVariaYpo,uni1F83
GrSubSmBeta.Serif,uni1D66.Serif
LtnCapZDesc,uni2C6B
CySmZeDiaer,uni04DF
LtnCapRDiagStrk,uniA7A6
GrSmAlphaWDasiaPeris,uni1F07
GrSmOmegaWDasiaOxiaYpo,uni1FA5
LtnSmVTilde.SItal,uni1E7D.SItal
LtnSmOOgonekMacron.RetroHook.sc,uni01ED.RetroHook.sc
LtnSmZDesc.sc,uni2C6C.sc
LtnSmRDotAbv,uni1E59
LtnSmOOgonekMacron,uni01ED
LtnSmPAcute,uni1E55
LtnCapAOgonek.RetroHook,Aogonek.RetroHook
LtnSmACircumTilde.2StorySItal.VN.LP,uni1EAB.2StorySItal.VN.LP
LtnSmKPalHookDep,uniF229
LtnSmOpenSix,uni1EFD
GrCapOmegaWOxia,uni1FFB
LftToRtOverride.ShowInv,uni202D.ShowInv
SmRomNumOneHundred,uni217D
LtnSmOAcute.LP,oacute.LP
ModCntrdRtHalfRing,uni02D2
LtnSmWRingAbv,uni1E98
LtnCapOMiddleTilde,uni019F
LtnCapPHighCurl,uniA754
LtnLigSmFSmI.sc,f_i.sc
CombAcute_Grave_Acute,uni1DC9
LtnSmIMacron.sc,imacron.sc
LtnSmNGrave,uni01F9
LtnSmLTrnd,uniA781
ModSmSHook,uni1DB3
ModSmVHook.StraightLftHighHook,uni1DB9.StraightLftHighHook
CyCapKhakasChe,uni04CB
LtnSmGAcute.SngBowl,uni01F5.SngBowl
LtnCapEDiaer,Edieresis
GrSmAlphaWTonos,alphatonos
LtnSmABreveGrave.VN,uni1EB1.VN
CySmDje,uni0452
LtnSmARingAbv.SngStory.sc,aring.SngStory.sc
LtnSmOHornHookAbv.sc,uni1EDF.sc
Caret,uni2038
CyCapIe,uni0415
LtnCapUOgonek.RetroHook,Uogonek.RetroHook
LtnSmODotAbv,uni022F
GrSubSmChi,uni1D6A
LtnSmLigOe.sc,oe.sc
GrSmAlpha,alpha
LtnSmOCircumGrave.VN.LP,uni1ED3.VN.LP
CyCapIo,uni0401
LtnSmLStrk,lslash
CombDblRtArrwBlw,uni0362
LtnCapKHook,uni0198
